timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.56,1180.63,4,1
1.831,2.56,1193.07,3,2
2.254,3.07,1213.14,4,3
2.682,2.68,1217.68,4,4
3.086,3.03,1218.79,4,5
3.447,3.16,1219.99,4,6
3.795,3.06,1220.02,4,7
4.152,3.13,1210.16,4,8
4.504,3.04,1211.27,5,9
4.868,2.97,1220.75,4,10
5.239,3.01,1220.91,4,11
5.601,3.46,1220.93,5,12
5.922,3.38,1222.05,5,13
6.248,3.38,1222.14,5,14
6.561,3.32,1222.14,5,15
6.892,3.42,1222.09,5,16
7.208,3.31,1222.09,5,17
7.542,3.35,1222.1,5,18
7.869,3.5,1222.1,5,19
8.186,3.48,1222.54,5,20
8.503,3.43,1222.55,5,21
8.815,3.36,1222.56,5,22
9.14,3.46,1222.57,5,23
9.445,3.34,1224.0,5,24
9.774,3.39,1223.8,6,25
10.096,3.25,1224.25,6,26
10.426,3.28,1225.53,6,27
10.759,3.43,1225.54,6,28
11.083,3.38,1215.9,6,29
11.423,3.43,1225.61,5,30
11.731,2.61,1226.45,6,31
12.135,2.71,1226.65,7,32
12.531,2.85,1217.02,6,33
12.909,3.16,1226.68,8,34
13.241,3.23,1226.68,8,35
13.574,3.31,1226.7,8,36
13.904,3.32,1225.32,8,37
14.236,3.26,1225.33,9,38
14.565,3.33,1225.34,8,39
14.881,3.22,1225.34,9,40
15.213,3.22,1225.13,9,41
15.545,3.38,1225.23,8,42
15.86,3.18,1225.13,8,43
16.192,3.21,1225.14,8,44
16.537,2.86,1212.69,10,45
16.907,2.9,1212.69,10,46
17.278,2.24,1205.56,10,47
17.748,2.8,1212.54,10,48
18.134,2.96,1218.16,10,49
18.492,2.76,1227.26,11,50
18.88,2.92,1219.09,10,51
19.248,2.95,1213.29,11,52
19.607,2.91,1213.29,11,53
19.975,2.61,1213.3,12,54
20.378,2.75,1213.54,11,55
20.769,2.79,1216.36,12,56
21.159,2.47,1225.99,11,57
21.588,2.65,1205.38,11,58
21.999,2.68,1216.2,12,59
22.398,2.86,1213.54,12,60
22.78,2.83,1216.37,13,61
23.155,2.88,1217.38,12,62
23.529,2.94,1214.57,12,63
23.893,2.69,1217.38,13,64
24.284,2.94,1217.38,12,65
24.645,2.9,1217.39,11,66
25.022,2.9,1214.58,11,67
25.391,2.93,1217.39,11,68
25.763,2.91,1215.24,11,69
26.133,2.89,1217.4,11,70
26.506,2.92,1214.59,11,71
26.876,3.0,1214.59,11,72
27.237,2.91,1217.41,11,73
27.615,2.95,1219.46,11,74
27.979,2.92,1220.21,11,75
28.341,2.93,1217.24,11,76
28.711,2.96,1214.61,11,77
29.086,2.95,1217.42,8,78
29.446,2.96,1214.63,8,79
29.805,2.88,1217.43,8,80
