timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.5,1282.96,4,1
2.037,1.57,1301.1,3,2
2.715,1.49,1301.21,4,3
3.432,1.93,1305.48,4,4
3.99,1.99,1306.6,4,5
4.527,2.11,1307.75,4,6
5.038,2.14,1307.78,4,7
5.542,2.2,1307.78,4,8
6.028,2.22,1308.91,5,9
6.51,2.24,1308.92,4,10
6.988,2.06,1308.92,4,11
7.509,2.07,1308.92,5,12
8.025,2.22,1310.02,5,13
8.518,2.16,1310.02,5,14
9.021,2.26,1310.02,5,15
9.496,2.26,1310.05,5,16
9.97,2.28,1310.07,5,17
10.441,2.27,1310.07,5,18
10.915,2.22,1310.07,5,19
11.397,2.23,1310.5,5,20
11.886,1.52,1310.5,5,21
12.582,1.42,1310.5,5,22
13.324,1.89,1310.52,5,23
