timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.68,1078.82,4,1
1.505,1.66,1088.71,3,2
2.137,1.78,1099.5,4,3
2.819,1.76,1103.66,4,4
3.442,1.57,1104.13,4,5
4.135,1.61,1105.42,4,6
4.789,1.6,1105.95,4,7
5.44,1.68,1106.2,4,8
6.077,1.93,1107.26,4,9
6.622,1.96,1107.26,4,10
7.161,1.92,1107.29,4,11
7.723,1.83,1107.33,4,12
8.296,1.58,1107.46,4,13
9.438,1.61,1108.21,4,14
10.088,1.89,1108.39,4,15
10.645,1.87,1108.32,4,16
11.922,1.82,1108.36,4,17
12.502,2.33,1108.36,4,18
12.961,2.26,1108.14,4,19
13.43,2.36,1108.75,4,20
13.881,2.26,1108.77,4,21
14.353,2.22,1108.77,4,22
14.832,2.25,1108.8,4,23
15.301,2.18,1111.62,4,24
15.783,2.25,1111.87,4,25
16.252,2.21,1109.18,5,26
16.732,2.21,1121.59,4,27
17.209,2.22,1121.61,4,28
17.687,2.26,1121.59,4,29
18.156,2.19,1121.61,4,30
18.646,2.29,1122.59,4,31
19.109,2.35,1121.29,6,32
19.563,2.2,1121.29,5,33
20.068,2.07,1121.31,6,34
20.583,1.76,1121.31,6,35
21.182,1.81,1121.15,7,36
21.765,1.55,1114.8,6,37
22.441,1.56,1114.68,6,38
23.113,1.74,1120.0,6,39
23.719,1.72,1119.82,6,40
24.33,1.77,1119.92,6,41
24.928,1.69,1114.8,6,42
25.555,1.48,1114.97,6,43
26.259,1.66,1119.89,6,44
26.89,1.82,1119.91,6,45
27.472,1.91,1114.79,6,46
28.026,2.02,1119.9,6,47
28.55,2.23,1132.4,5,48
29.022,2.59,1131.91,5,49
29.433,2.57,1113.57,6,50
29.848,2.62,1112.89,5,51
