timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.6,1282.64,4,1
1.707,2.26,1300.2,3,2
2.173,2.27,1300.35,4,3
2.639,2.26,1304.6,4,4
3.106,2.3,1305.71,4,5
3.564,2.25,1306.85,4,6
4.035,2.05,1306.93,4,7
4.559,1.85,1306.96,4,8
5.131,2.04,1308.06,5,9
5.649,2.24,1308.91,4,10
6.124,2.26,1309.04,4,11
6.592,2.23,1309.04,5,12
7.067,2.21,1310.15,5,13
7.542,2.2,1310.15,5,14
8.026,2.27,1310.15,5,15
8.498,2.26,1310.19,5,16
8.968,2.26,1310.2,5,17
9.433,2.27,1310.21,5,18
9.904,2.28,1310.21,5,19
10.367,2.27,1310.66,5,20
10.836,2.27,1310.68,5,21
11.304,2.28,1310.68,5,22
11.766,2.26,1310.67,5,23
12.237,2.22,1310.69,5,24
12.721,2.13,1310.73,6,25
13.216,2.21,1310.74,6,26
13.694,2.21,1311.74,6,27
14.173,2.26,1311.77,6,28
14.644,2.19,1311.78,6,29
15.126,2.25,1311.79,5,30
15.598,2.16,1312.8,6,31
16.093,2.15,1312.8,7,32
16.587,2.19,1312.79,6,33
17.072,1.98,1312.81,8,34
17.602,1.97,1312.85,8,35
18.141,2.01,1312.84,8,36
18.665,2.1,1312.88,8,37
19.17,2.02,1312.89,9,38
19.697,2.05,1312.91,8,39
20.214,2.02,1312.91,9,40
20.737,2.07,1312.91,9,41
21.249,2.11,1312.91,8,42
21.749,2.14,1312.91,8,43
22.243,2.15,1312.91,8,44
22.731,2.03,1312.92,10,45
23.253,2.06,1312.91,10,46
23.766,2.01,1312.91,10,47
24.295,2.19,1312.91,10,48
24.78,2.17,1312.92,10,49
25.269,2.12,1313.68,11,50
25.768,2.2,1313.67,10,51
26.25,2.17,1313.67,11,52
26.735,2.2,1313.69,11,53
27.213,2.08,1313.69,12,54
27.719,2.13,1313.7,11,55
28.22,2.02,1313.69,12,56
28.742,2.11,1313.7,11,57
29.241,2.17,1313.71,11,58
29.735,2.11,1313.72,12,59
30.235,2.11,1313.71,12,60
30.748,1.93,1313.8,13,61
31.297,2.11,1314.8,12,62
31.797,2.15,1314.81,12,63
32.289,2.06,1314.81,13,64
32.8,2.19,1314.81,12,65
33.285,2.12,1314.81,11,66
33.784,2.12,1314.81,11,67
34.283,2.12,1314.83,11,68
34.786,2.08,1314.83,11,69
35.296,2.12,1314.84,11,70
35.798,2.12,1314.84,11,71
36.303,2.2,1314.83,11,72
36.784,2.13,1314.84,11,73
37.284,2.14,1314.83,11,74
37.78,2.11,1314.77,11,75
38.289,2.13,1314.78,11,76
38.79,2.12,1314.77,11,77
39.291,2.15,1314.78,8,78
