frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
19,8.674,5,car,0.8,528,215,595,255,561,235,562,255,44.655367,10.934716,2460,1563
20,8.958,1,car,0.8,301,345,516,481,408,413,408,481,44.65554,10.934407,1621,1093
20,8.958,2,car,0.8,562,248,680,321,621,284,621,321,44.655444,10.93453,1956,1352
20,8.958,3,car,0.8,490,236,554,283,522,259,522,283,44.655416,10.93464,2253,1430
20,8.958,5,car,0.8,528,216,592,253,560,234,560,253,44.655363,10.934724,2483,1572
21,9.248,1,car,0.8,295,347,514,485,404,416,404,485,44.655541,10.934405,1616,1090
21,9.248,2,car,0.8,562,248,682,322,622,285,622,322,44.655445,10.934528,1951,1350
21,9.248,3,car,0.8,491,236,556,283,523,259,523,283,44.655415,10.93464,2253,1431
21,9.248,5,car,0.8,526,215,590,253,558,234,558,253,44.655364,10.934725,2485,1571
22,9.539,1,car,0.8,283,350,504,490,393,420,394,490,44.655543,10.934403,1611,1085
22,9.539,2,car,0.8,565,249,684,324,624,286,624,324,44.655447,10.934525,1941,1345
22,9.539,3,car,0.8,493,236,559,284,526,260,526,284,44.655416,10.934636,2243,1428
22,9.539,5,car,0.8,522,214,588,253,555,233,555,253,44.655364,10.934726,2487,1570
23,9.842,1,car,0.8,273,353,499,495,386,424,386,495,44.655544,10.934401,1606,1081
23,9.842,2,car,0.8,567,250,685,325,626,287,626,325,44.655448,10.934522,1935,1343
23,9.842,3,car,0.8,494,237,563,285,528,261,529,285,44.655417,10.934632,2233,1426
23,9.842,5,car,0.8,520,214,586,253,553,233,553,253,44.655364,10.934726,2489,1569
24,10.13,1,car,0.8,263,355,492,499,377,427,377,499,44.655546,10.9344,1603,1077
24,10.13,2,car,0.8,568,251,686,326,627,288,627,326,44.655448,10.93452,1929,1341
24,10.13,3,car,0.8,496,238,566,287,531,262,531,287,44.655419,10.934627,2218,1420
24,10.13,5,car,0.8,519,214,584,252,551,233,551,252,44.655363,10.934731,2502,1573
25,10.418,1,car,0.8,249,357,481,503,365,430,365,503,44.655547,10.9344,1602,1073
25,10.418,2,car,0.8,569,251,687,327,628,289,628,327,44.655449,10.934518,1924,1339
25,10.418,3,car,0.8,496,239,569,289,532,264,533,289,44.655421,10.934621,2202,1414
25,10.418,5,car,0.8,518,214,582,252,550,233,550,252,44.655363,10.934732,2503,1573
26,10.716,1,car,0.8,241,360,473,507,357,433,357,507,44.655549,10.934398,1598,1069
26,10.716,2,car,0.8,570,251,688,328,629,289,629,328,44.65545,10.934517,1919,1337
26,10.716,3,car,0.8,497,240,572,289,534,264,535,289,44.655421,10.93462,2201,1415
26,10.716,5,car,0.8,517,214,581,252,549,233,549,252,44.655363,10.934732,2504,1572
27,10.993,1,car,0.8,228,363,463,512,345,437,346,512,44.65555,10.934397,1595,1065
27,10.993,2,car,0.8,571,253,688,329,629,291,629,329,44.655451,10.934515,1915,1335
27,10.993,3,car,0.8,498,239,575,290,536,264,536,290,44.655422,10.934617,2193,1412
27,10.993,5,car,0.8,515,214,579,252,547,233,547,252,44.655363,10.934733,2506,1572
28,11.279,1,car,0.8,216,366,455,518,335,442,335,518,44.655552,10.934395,1590,1060
28,11.279,2,car,0.8,573,254,688,330,630,292,630,330,44.655451,10.934513,1910,1333
28,11.279,3,car,0.8,497,240,577,291,537,265,537,291,44.655423,10.934615,2186,1409
28,11.279,5,car,0.8,514,214,578,252,546,233,546,252,44.655364,10.934733,2507,1571
29,11.562,1,car,0.8,211,367,453,523,332,445,332,523,44.655553,10.934393,1584,1057
29,11.562,2,car,0.8,573,255,687,332,630,293,630,332,44.655453,10.93451,1902,1328
29,11.562,3,car,0.8,497,239,578,292,537,265,538,292,44.655424,10.934612,2178,1406
29,11.562,5,car,0.8,513,214,576,252,544,233,544,252,44.655364,10.934733,2508,1570
30,11.844,1,car,0.8,207,371,448,525,327,448,327,525,44.655554,10.934393,1583,1055
30,11.844,2,car,0.8,573,256,688,333,630,294,630,333,44.655454,10.934508,1897,1326
30,11.844,3,car,0.8,497,239,581,293,539,266,539,293,44.655425,10.934609,2171,1404
30,11.844,5,car,0.8,512,214,574,251,543,232,543,251,44.655362,10.934738,2520,1575
31,12.141,1,car,0.8,197,371,444,530,320,450,320,530,44.655555,10.934391,1578,1051
31,12.141,2,car,0.8,574,257,687,334,630,295,631,334,44.655455,10.934507,1893,1324
31,12.141,3,car,0.8,498,237,584,294,541,265,541,294,44.655426,10.934606,2163,1401
31,12.141,5,car,0.8,510,214,573,251,541,232,542,251,44.655363,10.934738,2521,1574
32,12.433,1,car,0.8,184,374,436,536,310,455,310,536,44.655557,10.934389,1573,1047
32,12.433,2,car,0.8,575,258,688,335,631,296,631,335,44.655455,10.934506,1889,1322
32,12.433,3,car,0.8,499,238,586,294,542,266,542,294,44.655426,10.934606,2162,1401
32,12.433,5,car,0.8,509,214,571,251,540,232,540,251,44.655363,10.934739,2523,1573
33,12.728,1,car,0.8,174,378,431,543,302,460,303,543,44.655558,10.934387,1566,1043
33,12.728,2,car,0.8,576,259,688,336,632,297,632,336,44.655456,10.934504,1884,1320
33,12.728,3,car,0.8,501,238,589,295,545,266,545,295,44.655427,10.934603,2154,1399
33,12.728,5,car,0.8,508,214,570,251,539,232,539,251,44.655363,10.934739,2524,1573
33,12.728,6,car,0.8151,577,208,622,240,599,224,599,240,44.655328,10.934765,2593,1667
34,13.01,1,car,0.8,156,380,414,547,285,463,285,547,44.65556,10.934387,1567,1038
34,13.01,2,car,0.8,578,260,688,337,633,298,633,337,44.655457,10.934502,1879,1318
34,13.01,3,car,0.8,504,238,591,295,547,266,548,295,44.655427,10.934602,2151,1400
34,13.01,5,car,0.8,506,214,568,251,537,232,537,251,44.655363,10.93474,2526,1572
34,13.01,6,car,0.8,575,207,620,239,597,223,598,239,44.655326,10.93477,2606,1673
35,13.307,1,car,0.8,143,386,397,552,270,469,270,552,44.655561,10.934387,1566,1034
35,13.307,2,car,0.8,578,261,688,338,633,299,633,338,44.655458,10.9345,1875,1316
35,13.307,3,car,0.8,506,240,591,295,548,267,548,295,44.655427,10.934602,2151,1400
35,13.307,5,car,0.8,505,214,567,251,536,232,536,251,44.655363,10.93474,2527,1572
36,13.591,1,car,0.8,128,389,385,558,256,473,257,558,44.655563,10.934385,1563,1030
36,13.591,2,car,0.8,579,262,689,339,634,300,634,339,44.655458,10.934499,1871,1314
36,13.591,3,car,0.8,508,243,591,296,549,269,550,296,44.655427,10.934599,2143,1398
36,13.591,5,car,0.8,504,214,565,251,534,232,535,251,44.655364,10.934741,2528,1571
36,13.591,7,car,0.8313,561,207,620,240,590,223,590,240,44.65533,10.934768,2602,1662
37,13.873,1,car,0.8,113,391,375,565,244,478,244,565,44.655565,10.934384,1558,1025
37,13.873,2,car,0.8,580,262,690,340,635,301,635,340,44.655459,10.934497,1866,1312
37,13.873,3,car,0.8,509,243,592,296,550,269,550,296,44.655427,10.934599,2143,1398
37,13.873,5,car,0.8,506,220,558,251,532,235,532,251,44.655364,10.934742,2531,1570
37,13.873,7,car,0.8,561,206,619,239,590,222,590,239,44.655328,10.934773,2615,1668
37,13.873,8,bicycle,0.8169,0,382,48,482,24,432,24,482,44.655561,10.934463,1773,1036
38,14.16,1,car,0.8,101,395,365,571,233,483,233,571,44.655566,10.934382,1554,1021
38,14.16,2,car,0.8,580,262,690,341,635,301,635,341,44.65546,10.934496,1862,1310
38,14.16,3,car,0.8,509,243,593,297,551,270,551,297,44.655428,10.934596,2136,1395
38,14.16,5,car,0.8,502,221,561,256,531,238,532,256,44.655373,10.934722,2478,1545
38,14.16,7,car,0.8,558,204,620,238,589,221,589,238,44.655326,10.934778,2628,1674
39,14.448,1,car,0.8,91,400,357,578,224,489,224,578,44.655567,10.93438,1549,1018
39,14.448,2,car,0.8,579,263,690,344,634,303,635,344,44.655462,10.934492,1851,1304
39,14.448,3,car,0.8,511,243,596,297,553,270,554,297,44.655428,10.934596,2134,1396
39,14.448,5,car,0.8,499,221,562,260,530,240,530,260,44.655381,10.934708,2440,1525
39,14.448,7,car,0.8,554,203,617,238,585,220,585,238,44.655327,10.934779,2633,1672
39,14.448,9,bicycle,0.8225,0,366,58,487,29,426,29,487,44.655561,10.934458,1761,1034
40,14.733,1,car,0.8,79,404,346,585,212,494,213,585,44.655569,10.934378,1544,1014
40,14.733,2,car,0.8,579,263,690,346,634,304,634,346,44.655463,10.934489,1844,1300
40,14.733,3,car,0.8,515,243,598,296,556,269,557,296,44.655427,10.934597,2138,1400
40,14.733,5,car,0.8,497,222,561,262,529,242,529,262,44.655384,10.934702,2422,1515
40,14.733,7,car,0.8,551,203,614,238,582,220,582,238,44.655327,10.934781,2636,1671
40,14.733,9,bicycle,0.8,2,366,60,487,31,426,31,487,44.655561,10.934458,1760,1035
41,15.018,1,car,0.8,67,406,342,592,204,499,204,592,44.65557,10.934376,1538,1010
41,15.018,2,car,0.8,579,264,689,347,634,305,634,347,44.655464,10.934487,1840,1298
41,15.018,3,car,0.8,516,244,600,297,558,270,558,297,44.655427,10.934595,2131,1398
41,15.018,5,car,0.8,495,222,562,267,528,244,529,267,44.655392,10.934685,2376,1494
41,15.018,7,car,0.8,549,204,612,239,580,221,581,239,44.655329,10.934776,2624,1664
42,15.31,1,car,0.8,54,410,329,598,191,504,192,598,44.655572,10.934375,1535,1006
42,15.31,2,car,0.8,578,264,688,348,633,306,633,348,44.655465,10.934486,1837,1295
42,15.31,3,car,0.8,519,243,604,297,561,270,561,297,44.655427,10.934594,2129,1399
42,15.31,5,car,0.8,495,222,562,268,528,245,528,268,44.655394,10.934682,2368,1489
42,15.31,7,car,0.8,546,206,606,240,576,223,576,240,44.655333,10.934773,2616,1655
43,15.608,1,car,0.8,42,412,320,604,181,508,181,604,44.655573,10.934374,1532,1003
43,15.608,2,car,0.8,578,265,686,349,632,307,632,349,44.655466,10.934485,1834,1293
43,15.608,3,car,0.8,518,243,605,298,561,270,561,298,44.655428,10.934592,2123,1396
43,15.608,5,car,0.8,494,222,561,269,527,245,528,269,44.655395,10.934679,2360,1485
43,15.608,7,car,0.8,543,207,601,240,572,223,572,240,44.655334,10.934775,2620,1652
43,15.608,10,bicycle,0.8177,6,378,82,482,44,430,44,482,44.65556,10.93446,1765,1039
44,15.908,1,car,0.8,28,419,304,611,166,515,166,611,44.655574,10.934373,1529,999
44,15.908,2,car,0.8,578,269,681,349,629,309,630,349,44.655466,10.934486,1835,1293
44,15.908,3,car,0.8,519,243,607,299,563,271,563,299,44.655429,10.934589,2115,1393
44,15.908,5,car,0.8,496,222,561,269,528,245,528,269,44.655395,10.934679,2360,1485
44,15.908,7,car,0.8,539,208,597,240,568,224,568,240,44.655335,10.934776,2624,1650
44,15.908,10,bicycle,0.8,12,378,86,479,49,428,49,479,44.655558,10.934462,1770,1042
45,16.197,1,car,0.8,11,424,289,618,150,521,150,618,44.655576,10.934372,1526,995
45,16.197,2,car,0.8,576,268,681,350,628,309,628,350,44.655467,10.934485,1833,1290
45,16.197,3,car,0.8,522,243,612,300,567,271,567,300,44.65543,10.934585,2106,1392
45,16.197,5,car,0.8,498,220,564,268,531,244,531,268,44.655394,10.934681,2366,1490
45,16.197,7,car,0.8,536,208,593,240,564,224,565,240,44.655335,10.934777,2627,1649
45,16.197,10,bicycle,0.8,18,367,95,474,56,420,57,474,44.655557,10.934464,1777,1046
46,16.484,1,car,0.8,-1,428,279,624,139,526,138,624,44.655577,10.934371,1524,992
46,16.484,2,car,0.8,575,271,677,351,626,311,626,351,44.655468,10.934484,1831,1288
46,16.484,3,car,0.8,524,243,615,301,569,272,569,301,44.655431,10.934583,2099,1389
46,16.484,5,car,0.8,497,221,564,269,530,245,530,269,44.655395,10.934678,2358,1486
46,16.484,7,car,0.8,534,208,590,240,562,224,562,240,44.655336,10.934778,2630,1647
46,16.484,10,bicycle,0.8,21,363,100,471,60,417,61,471,44.655556,10.934466,1782,1048
47,16.788,1,car,0.8,-14,432,269,630,127,531,127,630,44.655578,10.93437,1521,989
47,16.788,2,car,0.8,576,278,671,352,623,315,623,352,44.655469,10.934483,1829,1285
47,16.788,3,car,0.8,526,243,617,302,571,272,571,302,44.655431,10.93458,2091,1387
47,16.788,5,car,0.8,495,221,564,270,529,245,530,270,44.655396,10.934675,2349,1482
47,16.788,7,car,0.8,531,208,587,240,559,224,559,240,44.655336,10.934779,2633,1646
47,16.788,10,bicycle,0.8,25,359,105,469,65,414,65,469,44.655556,10.934467,1785,1050
48,17.071,1,car,0.8,-27,435,260,636,116,535,116,636,44.655579,10.934369,1518,986
48,17.071,2,car,0.8,571,276,672,355,621,315,622,355,44.655471,10.93448,1819,1279
48,17.071,3,car,0.8,527,243,619,302,573,272,573,302,44.655431,10.93458,2090,1388
48,17.071,5,car,0.8,494,221,564,272,529,246,529,272,44.6554,10.934669,2333,1473
48,17.071,7,car,0.8,528,209,584,240,556,224,556,240,44.655337,10.934781,2637,1644
48,17.071,10,bicycle,0.8,28,354,110,466,69,410,69,466,44.655555,10.934469,1790,1052
49,17.371,1,car,0.8,-40,439,250,641,105,540,105,641,44.65558,10.934368,1516,984
49,17.371,2,car,0.8,568,279,671,358,619,318,620,358,44.655473,10.934476,1810,1273
49,17.371,3,car,0.8,529,243,621,303,575,273,575,303,44.655432,10.934577,2083,1386
49,17.371,5,car,0.8,493,221,564,273,528,247,529,273,44.655401,10.934666,2325,1469
