timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.62,1283.24,4,1
1.656,1.99,1300.29,3,2
2.191,2.3,1301.11,4,3
2.667,2.3,1305.36,4,4
3.136,2.23,1306.46,4,5
3.617,2.27,1307.61,4,6
4.089,2.29,1307.64,4,7
4.557,2.24,1307.64,4,8
5.035,2.23,1308.77,5,9
5.516,2.3,1308.77,4,10
5.981,2.28,1308.77,4,11
6.45,2.24,1308.77,5,12
6.93,2.21,1309.88,5,13
7.414,2.24,1309.88,5,14
7.891,2.29,1309.88,5,15
8.359,2.29,1309.91,5,16
8.827,2.27,1309.92,5,17
9.3,2.23,1309.93,5,18
9.782,2.28,1309.93,5,19
10.252,2.27,1310.37,5,20
10.723,2.29,1310.39,5,21
11.193,2.26,1310.39,5,22
11.666,2.29,1310.38,5,23
12.135,2.3,1310.39,5,24
12.604,2.19,1310.43,6,25
13.093,2.16,1310.44,6,26
13.59,2.12,1311.43,6,27
14.094,2.02,1311.47,6,28
14.633,1.85,1311.52,6,29
