frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
1,0.0,1,car,0.9503,440,308,613,418,526,363,526,418,44.655512,10.934434,1694,1169
1,0.0,2,car,0.9012,535,239,635,305,585,272,585,305,44.655433,10.93457,2064,1383
1,0.0,3,car,0.8875,473,230,537,283,505,256,505,283,44.655418,10.934645,2267,1424
2,0.984,1,car,0.943,434,310,610,421,522,365,522,421,44.655513,10.934432,1689,1165
2,0.984,2,car,0.9112,536,238,637,307,586,272,586,307,44.655435,10.934566,2052,1378
2,0.984,3,car,0.891,476,230,537,283,506,256,506,283,44.655418,10.934644,2266,1424
3,1.62,1,car,0.9421,429,311,610,424,519,367,519,424,44.655515,10.93443,1683,1161
3,1.62,2,car,0.9094,537,238,641,307,589,272,589,307,44.655434,10.934565,2050,1379
3,1.62,3,car,0.8933,477,230,538,284,507,257,507,284,44.655419,10.934641,2258,1421
4,2.211,1,car,0.9416,422,312,602,427,512,369,512,427,44.655516,10.934429,1680,1157
4,2.211,2,car,0.8979,538,239,644,308,591,273,591,308,44.655435,10.934562,2043,1377
4,2.211,3,car,0.8961,478,230,540,284,509,257,509,284,44.655419,10.934641,2256,1422
5,2.626,1,car,0.9349,414,316,595,430,504,373,504,430,44.655518,10.934427,1677,1152
5,2.626,2,car,0.8898,539,240,648,309,593,274,593,309,44.655436,10.93456,2036,1375
5,2.626,3,car,0.8971,478,230,541,284,509,257,509,284,44.655419,10.934641,2256,1422
5,2.626,4,car,0.7589,540,211,622,246,581,228,581,246,44.655345,10.934745,2539,1621
6,3.028,1,car,0.9413,408,316,592,433,500,374,500,433,44.655519,10.934426,1673,1148
6,3.028,2,car,0.8924,539,241,650,309,594,275,594,309,44.655436,10.93456,2036,1375
6,3.028,3,car,0.8975,479,230,543,284,511,257,511,284,44.655418,10.93464,2255,1423
6,3.028,4,car,0.7848,537,212,615,248,576,230,576,248,44.65535,10.934739,2522,1607
7,3.422,1,car,0.9439,399,318,587,435,493,376,493,435,44.655521,10.934426,1672,1145
7,3.422,2,car,0.8911,540,241,652,310,596,275,596,310,44.655437,10.934557,2029,1373
7,3.422,3,car,0.8976,479,230,543,284,511,257,511,284,44.655418,10.93464,2255,1423
7,3.422,4,car,0.7822,534,213,611,250,572,231,572,250,44.655355,10.934732,2503,1594
8,3.806,1,car,0.9418,394,319,580,437,487,378,487,437,44.655522,10.934425,1670,1142
8,3.806,2,car,0.8929,539,241,655,311,597,276,597,311,44.655438,10.934555,2023,1370
8,3.806,3,car,0.8965,479,231,543,285,511,258,511,285,44.65542,10.934638,2248,1419
8,3.806,4,car,0.8095,533,213,610,251,571,232,571,251,44.655357,10.934728,2494,1588
