timestamp,fps,memory_mb,num_tracks,frame_number
0.0,1.06,574.36,3,1
0.984,1.75,448.85,3,2
1.62,1.8,461.14,3,3
2.211,2.64,467.04,3,4
2.626,2.71,468.33,4,5
3.028,2.76,469.52,4,6
3.422,2.83,469.58,4,7
3.806,2.9,470.25,4,8
4.184,2.92,471.38,4,9
4.561,2.91,471.47,4,10
4.936,2.84,471.46,4,11
5.319,2.93,471.48,4,12
5.69,2.99,472.59,4,13
6.058,2.93,472.6,4,14
6.432,2.88,472.8,4,15
6.808,1.61,472.63,4,16
7.461,2.75,472.83,4,17
7.856,2.38,472.89,4,18
8.308,2.75,472.9,4,19
8.703,2.88,473.34,4,20
9.081,2.72,473.4,4,21
9.48,2.63,473.4,4,22
9.893,2.55,473.4,4,23
10.321,2.81,470.49,4,24
10.711,2.7,456.49,4,25
11.115,2.94,455.08,4,26
11.488,2.71,456.1,4,27
11.889,2.75,456.1,3,28
12.287,2.88,456.11,3,29
12.668,2.98,456.12,4,30
13.041,2.96,457.42,4,31
13.412,2.8,457.46,4,32
13.801,2.94,457.48,4,33
14.172,2.94,457.51,4,34
14.543,2.9,457.53,4,35
14.919,2.88,457.55,5,36
15.297,2.92,457.61,6,37
15.669,2.88,457.67,6,38
16.048,2.79,457.68,6,39
16.439,2.87,457.69,6,40
16.817,2.82,457.69,6,41
17.203,2.91,457.7,6,42
17.579,2.88,457.71,6,43
17.96,2.88,457.72,6,44
18.341,2.94,457.72,6,45
18.713,2.79,457.74,5,46
19.103,2.9,457.74,4,47
19.477,2.82,457.74,5,48
19.864,2.72,459.61,4,49
20.262,2.9,459.45,5,50
20.64,2.84,457.21,5,51
21.026,2.92,459.58,5,52
21.398,2.89,458.85,5,53
21.775,2.87,458.84,6,54
22.156,2.87,458.84,6,55
22.539,2.91,458.91,6,56
22.915,2.88,458.91,5,57
23.292,2.9,458.91,5,58
23.67,2.89,458.91,5,59
24.048,2.91,458.91,6,60
24.422,2.89,458.92,5,61
24.8,2.91,459.93,5,62
25.175,2.95,459.93,5,63
25.546,2.95,459.93,5,64
25.915,2.9,459.93,5,65
26.29,2.83,459.93,4,66
26.675,2.89,459.94,5,67
27.055,2.25,459.95,4,68
27.533,1.49,459.95,4,69
28.244,1.24,435.57,4,70
29.086,2.14,431.34,5,71
29.593,1.86,431.36,4,72
