timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.42,1167.6,4,1
2.488,1.46,1190.8,3,2
3.229,1.65,1188.88,4,3
3.891,1.58,1193.1,4,4
4.577,1.5,1194.04,4,5
5.37,1.43,1194.5,4,6
6.13,1.55,1194.51,4,7
6.834,1.14,1052.0,4,8
7.766,1.33,983.24,5,9
8.575,1.67,983.48,4,10
9.215,0.33,982.64,4,11
12.263,1.45,983.45,5,12
12.988,1.5,984.69,5,13
13.692,1.54,984.91,5,14
14.368,1.58,984.96,5,15
15.029,1.49,984.77,5,16
15.724,1.54,984.96,5,17
16.407,1.53,984.09,5,18
17.095,1.6,984.88,5,19
17.751,1.56,985.49,5,20
18.427,1.57,985.57,5,21
19.09,1.57,984.62,5,22
19.758,1.56,984.64,5,23
20.44,1.6,988.54,5,24
21.098,1.53,988.66,6,25
21.791,1.64,989.05,6,26
22.437,1.52,998.32,6,27
23.135,1.62,998.34,6,28
23.788,1.57,998.45,6,29
24.464,1.65,998.55,5,30
25.107,1.63,999.54,6,31
25.749,1.58,999.72,7,32
26.409,1.58,999.56,6,33
27.071,1.51,999.48,8,34
27.774,1.49,999.61,8,35
28.482,1.47,999.6,8,36
29.19,1.53,998.44,8,37
29.884,1.38,998.28,9,38
