frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
1,0.0,1,car,0.9503,440,308,613,418,526,363,526,418,44.655512,10.934434,1694,1169
1,0.0,2,car,0.9012,535,239,635,305,585,272,585,305,44.655433,10.93457,2064,1383
1,0.0,3,car,0.8875,473,230,537,283,505,256,505,283,44.655418,10.934645,2267,1424
1,0.0,4,car,0.3016,552,205,630,242,591,223,591,242,44.655335,10.934758,2576,1650
2,2.488,1,car,0.25,434,309,609,420,521,364,522,420,44.655513,10.934433,1691,1166
2,2.488,2,car,0.25,534,238,638,306,586,272,586,306,44.655434,10.934568,2058,1381
2,2.488,3,car,0.25,474,230,538,283,506,256,506,283,44.655418,10.934644,2266,1424
3,3.229,1,car,0.25,430,310,608,423,519,366,519,423,44.655514,10.934431,1686,1162
3,3.229,2,car,0.25,536,237,641,307,588,272,589,307,44.655434,10.934565,2050,1379
3,3.229,3,car,0.25,475,230,539,283,507,256,507,283,44.655417,10.934644,2265,1425
3,3.229,5,car,0.4495,544,207,627,245,585,226,585,245,44.655342,10.934748,2547,1629
4,3.891,1,car,0.25,421,312,601,427,511,369,511,427,44.655516,10.934429,1680,1156
4,3.891,2,car,0.25,538,238,643,307,590,272,591,307,44.655434,10.934564,2049,1379
4,3.891,3,car,0.25,476,230,540,284,508,257,508,284,44.655419,10.934641,2257,1422
4,3.891,5,car,0.25,542,208,625,246,583,227,584,246,44.655345,10.934744,2536,1622
5,4.577,1,car,0.25,415,316,594,429,504,372,504,429,44.655518,10.934428,1679,1153
5,4.577,2,car,0.25,541,240,645,308,593,274,593,308,44.655435,10.934562,2042,1377
5,4.577,3,car,0.25,477,230,542,284,509,257,509,284,44.655419,10.934641,2256,1422
5,4.577,5,car,0.25,541,210,619,246,580,228,580,246,44.655346,10.934745,2540,1620
6,5.37,1,car,0.25,408,316,591,432,499,374,499,432,44.655519,10.934427,1675,1149
6,5.37,2,car,0.25,542,241,646,309,594,275,594,309,44.655436,10.93456,2036,1375
6,5.37,3,car,0.25,477,229,543,284,510,256,510,284,44.655419,10.934641,2256,1422
6,5.37,5,car,0.25,536,211,614,247,575,229,575,247,44.655349,10.934743,2534,1612
7,6.13,1,car,0.25,400,317,585,435,492,376,493,435,44.655521,10.934426,1672,1145
7,6.13,2,car,0.25,543,241,648,310,595,275,595,310,44.655437,10.934557,2030,1372
7,6.13,3,car,0.25,478,229,543,284,510,256,510,284,44.655419,10.934641,2256,1422
7,6.13,5,car,0.25,531,213,613,250,572,231,572,250,44.655355,10.934732,2503,1594
8,6.834,1,car,0.25,393,319,580,437,486,378,487,437,44.655522,10.934425,1670,1142
