timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.43,826.54,3,1
2.378,1.7,858.18,3,2
2.996,1.59,854.87,3,3
3.654,1.57,859.89,3,4
4.334,1.57,860.99,3,5
4.998,1.57,862.3,3,6
5.665,1.73,862.12,3,7
6.284,1.79,862.12,4,8
6.875,1.98,863.41,4,9
7.421,2.16,863.43,3,10
7.922,2.33,863.43,4,11
8.389,2.36,863.43,4,12
8.846,2.44,887.05,4,13
9.286,2.44,887.05,4,14
9.726,2.2,864.55,4,15
10.214,2.49,887.05,4,16
10.644,2.42,887.07,4,17
11.09,2.37,887.07,4,18
11.542,2.47,887.07,4,19
11.969,2.31,887.5,4,20
12.436,2.49,887.51,4,21
12.862,2.5,887.51,4,22
13.294,2.45,865.01,4,23
13.734,2.45,865.3,4,24
14.165,2.36,861.21,4,25
14.612,2.4,861.41,4,26
15.061,2.46,860.04,4,27
15.505,2.44,860.04,4,28
15.944,2.44,861.1,4,29
16.384,2.44,860.04,4,30
16.826,2.44,861.04,4,31
17.273,2.34,858.22,4,32
17.735,2.41,862.16,5,33
18.174,2.39,861.11,5,34
18.63,2.42,862.17,4,35
19.071,2.43,861.1,5,36
19.513,2.18,861.15,7,37
20.003,2.32,861.15,5,38
20.47,2.34,861.16,6,39
20.926,2.33,861.16,6,40
21.379,2.36,862.24,5,41
21.838,2.26,857.44,5,42
22.312,2.33,861.27,6,43
22.77,2.29,860.31,6,44
23.24,2.21,861.01,6,45
23.728,2.39,860.31,6,46
24.172,2.42,861.37,6,47
24.624,2.47,861.42,6,48
25.052,2.02,864.84,7,49
25.584,1.97,864.51,7,50
26.122,2.44,860.55,6,51
26.568,2.32,860.61,6,52
27.027,2.0,861.22,7,53
27.561,2.24,858.75,6,54
28.042,2.44,861.57,7,55
28.492,2.27,861.57,7,56
28.955,2.04,858.77,7,57
29.475,2.34,862.64,7,58
29.93,2.45,862.64,7,59
