timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.72,739.8,3,1
1.457,1.3,760.81,3,2
2.283,1.54,768.39,3,3
2.992,1.71,773.41,3,4
3.621,1.24,771.95,4,5
4.466,1.75,775.68,4,6
5.076,2.09,775.87,4,7
5.594,2.12,775.87,4,8
6.096,2.37,799.47,4,9
6.549,2.35,799.47,4,10
7.006,2.29,777.02,4,11
7.477,2.21,776.98,4,12
7.96,2.18,778.08,4,13
8.448,2.27,778.08,4,14
8.919,2.26,778.08,4,15
9.39,2.25,778.08,4,16
9.876,2.19,778.09,4,17
10.363,2.29,778.09,4,18
10.834,2.23,800.6,4,19
11.307,2.31,801.02,4,20
11.764,1.66,801.01,4,21
12.393,2.34,801.02,4,22
12.849,2.15,778.52,4,23
13.339,2.19,779.18,4,24
13.824,2.19,774.89,4,25
14.311,2.24,771.94,4,26
14.797,2.11,772.96,4,27
15.301,2.19,773.0,3,28
15.789,2.1,773.0,3,29
16.293,2.05,773.0,4,30
16.813,2.14,774.05,4,31
17.302,2.14,771.77,4,32
17.806,2.16,774.05,4,33
18.31,2.17,771.24,4,34
18.798,2.2,771.77,4,35
19.284,2.21,771.25,5,36
19.772,2.17,774.1,6,37
20.262,2.19,774.11,6,38
20.748,2.1,771.88,6,39
21.252,2.23,774.16,6,40
21.724,2.15,774.16,6,41
22.226,2.12,774.16,6,42
22.731,2.16,774.16,6,43
23.22,2.15,771.35,6,44
23.723,2.13,774.16,6,45
24.228,2.17,771.35,5,46
24.716,2.18,774.16,4,47
25.201,2.23,774.16,5,48
25.673,2.27,776.44,4,49
26.145,2.18,775.75,5,50
26.632,2.15,776.11,5,51
27.121,2.2,776.15,5,52
27.61,2.14,775.04,5,53
28.114,2.16,775.05,6,54
28.618,2.01,775.05,6,55
29.152,2.21,775.1,6,56
29.64,2.16,775.1,5,57
