frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
1,0.0,1,car,0.9503,440,308,613,418,526,363,526,418,44.655512,10.934434,1694,1169
1,0.0,2,car,0.9012,535,239,635,305,585,272,585,305,44.655433,10.93457,2064,1383
1,0.0,3,car,0.8875,473,230,537,283,505,256,505,283,44.655418,10.934645,2267,1424
1,0.0,4,car,0.3016,552,205,630,242,591,223,591,242,44.655335,10.934758,2576,1650
2,1.37,1,car,0.943,434,310,609,421,521,365,521,421,44.655513,10.934432,1689,1165
2,1.37,2,car,0.9112,535,238,638,307,586,272,586,307,44.655435,10.934566,2052,1378
2,1.37,3,car,0.891,475,230,539,283,507,256,507,283,44.655417,10.934644,2265,1425
3,1.85,1,car,0.9421,430,311,608,424,519,367,519,424,44.655515,10.93443,1683,1161
3,1.85,2,car,0.9094,538,238,641,307,589,272,589,307,44.655434,10.934565,2050,1379
3,1.85,3,car,0.8933,475,230,540,284,507,257,507,284,44.655419,10.934641,2258,1421
3,1.85,4,car,0.4495,547,207,626,245,586,226,586,245,44.655342,10.934747,2546,1629
4,2.319,1,car,0.9416,421,312,602,427,511,369,511,427,44.655516,10.934429,1680,1156
4,2.319,2,car,0.8979,539,239,643,308,591,273,591,308,44.655435,10.934562,2043,1377
4,2.319,3,car,0.8961,477,230,541,284,509,257,509,284,44.655419,10.934641,2256,1422
4,2.319,4,car,0.6553,545,209,623,246,584,227,584,246,44.655345,10.934744,2536,1622
5,2.792,1,car,0.9349,415,316,595,430,505,373,505,430,44.655518,10.934427,1677,1152
5,2.792,2,car,0.8898,542,240,645,309,593,274,593,309,44.655436,10.93456,2036,1375
5,2.792,3,car,0.8971,478,230,542,284,510,257,510,284,44.655419,10.934641,2256,1422
5,2.792,4,car,0.7589,543,211,618,247,580,229,580,247,44.655347,10.934741,2529,1615
6,3.251,1,car,0.9413,408,316,592,433,500,374,500,433,44.655519,10.934426,1673,1148
6,3.251,2,car,0.8924,543,241,646,309,594,275,594,309,44.655436,10.93456,2036,1375
6,3.251,3,car,0.8975,478,230,544,284,511,257,511,284,44.655418,10.93464,2255,1423
6,3.251,4,car,0.7848,538,212,613,248,575,230,575,248,44.655351,10.934739,2523,1606
7,3.716,1,car,0.9439,401,318,586,435,493,376,493,435,44.655521,10.934426,1672,1145
7,3.716,2,car,0.8911,543,241,648,310,595,275,595,310,44.655437,10.934557,2030,1372
7,3.716,3,car,0.8976,478,230,544,284,511,257,511,284,44.655418,10.93464,2255,1423
7,3.716,4,car,0.7822,533,213,612,250,572,231,572,250,44.655355,10.934732,2503,1594
8,4.19,1,car,0.9418,394,319,580,437,487,378,487,437,44.655522,10.934425,1670,1142
