timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.75,1127.69,4,1
1.37,2.24,1146.3,3,2
1.85,2.3,1146.47,4,3
2.319,2.27,1150.75,4,4
2.792,2.34,1151.87,4,5
3.251,2.32,1153.01,4,6
3.716,2.26,1153.04,4,7
4.19,2.3,1153.04,4,8
4.659,2.34,1154.15,4,9
5.12,2.31,1154.16,4,10
5.586,2.37,1154.16,4,11
6.041,2.33,1154.16,4,12
6.502,2.09,1155.25,4,13
7.013,2.36,1155.25,4,14
7.469,2.44,1155.25,4,15
7.91,2.58,1155.25,4,16
8.327,2.56,1155.27,4,17
8.747,2.57,1155.27,4,18
9.164,2.57,1155.26,4,19
9.579,2.57,1155.69,4,20
9.998,2.57,1155.71,4,21
10.418,2.57,1155.7,4,22
10.835,2.6,1155.7,4,23
11.249,2.56,1155.7,4,24
11.668,2.57,1155.75,4,25
12.084,2.53,1155.74,5,26
12.508,2.57,1156.73,4,27
12.922,2.58,1156.74,4,28
13.343,2.54,1156.74,4,29
13.766,2.57,1156.75,4,30
14.19,2.57,1157.75,4,31
14.607,2.56,1157.75,6,32
15.027,2.57,1157.75,5,33
15.441,2.55,1157.73,6,34
15.861,2.51,1157.74,6,35
16.286,2.55,1157.75,7,36
16.707,2.46,1157.79,6,37
17.142,2.35,1157.79,6,38
17.6,2.01,1157.8,6,39
18.129,2.36,1157.81,6,40
18.579,2.56,1157.8,6,41
18.996,2.52,1157.8,6,42
19.422,2.29,1157.69,6,43
19.893,2.21,1157.8,6,44
20.377,2.45,1157.8,6,45
20.815,2.53,1157.8,6,46
21.24,2.55,1157.8,6,47
21.661,2.55,1157.8,5,48
22.081,2.56,1157.8,5,49
22.498,2.54,1158.56,6,50
22.919,2.55,1158.56,5,51
23.337,2.56,1158.56,5,52
23.757,2.56,1158.56,5,53
24.176,2.53,1158.56,6,54
24.596,2.55,1158.56,6,55
25.017,2.54,1158.55,6,56
25.44,2.4,1158.55,6,57
25.888,2.41,1158.55,5,58
26.335,2.41,1158.56,6,59
26.781,2.55,1158.55,6,60
27.205,2.56,1158.55,5,61
27.624,2.52,1159.56,6,62
28.046,2.56,1159.56,5,63
28.465,2.5,1159.56,5,64
28.895,2.57,1159.56,5,65
29.313,2.56,1159.56,5,66
29.734,2.55,1159.56,6,67
