frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
16,8.925,5,car,0.25,523,214,604,256,563,235,564,256,44.655368,10.934711,2448,1559
16,8.925,7,car,0.25,536,216,619,261,577,238,577,261,44.655375,10.934689,2388,1541
17,9.455,1,car,0.25,324,340,527,470,425,405,426,470,44.655536,10.934411,1633,1104
17,9.455,2,car,0.25,558,245,674,316,616,280,616,316,44.65544,10.93454,1984,1363
17,9.455,3,car,0.25,487,233,549,282,518,257,518,282,44.655415,10.934644,2264,1432
17,9.455,5,car,0.25,523,214,602,256,562,235,562,256,44.655368,10.934712,2450,1558
17,9.455,7,car,0.25,543,216,624,259,583,237,583,259,44.65537,10.934694,2401,1553
18,9.989,1,car,0.25,316,341,524,473,420,407,420,473,44.655537,10.93441,1630,1101
18,9.989,2,car,0.25,560,246,676,318,618,282,618,318,44.655442,10.934536,1973,1358
18,9.989,3,car,0.25,488,234,550,282,519,258,519,282,44.655415,10.934643,2263,1433
18,9.989,5,car,0.25,523,215,599,255,561,235,561,255,44.655367,10.934716,2461,1563
18,9.989,7,car,0.25,551,215,628,257,589,236,590,257,44.655366,10.934699,2414,1566
19,10.51,1,car,0.25,308,343,520,478,414,410,414,478,44.655539,10.934408,1623,1096
19,10.51,2,car,0.25,561,247,678,319,619,283,619,319,44.655443,10.934534,1967,1356
19,10.51,3,car,0.25,489,235,552,282,520,258,521,282,44.655415,10.934642,2261,1433
19,10.51,5,car,0.25,525,215,598,255,561,235,561,255,44.655367,10.934716,2461,1563
19,10.51,7,car,0.25,558,214,633,254,595,234,596,254,44.655359,10.934708,2438,1584
20,11.016,1,car,0.25,301,345,516,481,408,413,408,481,44.65554,10.934407,1621,1093
20,11.016,2,car,0.25,562,248,680,321,621,284,621,321,44.655444,10.93453,1956,1352
20,11.016,3,car,0.25,490,236,554,283,522,259,522,283,44.655416,10.93464,2253,1430
20,11.016,5,car,0.25,526,216,594,253,560,234,560,253,44.655363,10.934724,2483,1572
20,11.016,7,car,0.25,566,213,638,252,602,232,602,252,44.655354,10.934713,2453,1597
21,11.52,1,car,0.25,295,347,514,485,404,416,404,485,44.655541,10.934405,1616,1090
21,11.52,2,car,0.25,562,248,682,322,622,285,622,322,44.655445,10.934528,1951,1350
21,11.52,3,car,0.25,491,236,556,283,523,259,523,283,44.655415,10.93464,2253,1431
21,11.52,5,car,0.25,523,215,592,254,557,234,558,254,44.655366,10.934721,2474,1566
