timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.56,1181.55,4,1
1.794,2.2,1192.37,3,2
2.272,2.16,1190.45,4,3
2.772,1.94,1194.74,4,4
3.317,2.45,1197.11,4,5
3.757,2.46,1196.99,4,6
4.188,2.24,1197.03,4,7
4.658,1.97,1197.03,4,8
5.191,1.94,1198.12,5,9
5.737,2.05,1198.12,4,10
6.256,2.01,1198.12,4,11
6.788,2.02,1198.13,5,12
7.323,1.97,1199.24,5,13
7.869,1.99,1199.25,5,14
8.404,2.03,1199.25,5,15
8.925,2.03,1199.41,5,16
9.455,2.02,1199.34,5,17
9.989,2.04,1199.35,5,18
10.51,2.11,1199.35,5,19
11.016,2.11,1199.79,5,20
11.52,2.1,1199.83,5,21
12.023,2.08,1199.83,5,22
12.536,1.97,1199.81,5,23
13.072,2.04,1202.69,5,24
13.59,2.04,1202.95,6,25
14.109,2.06,1203.16,6,26
14.631,2.04,1212.7,6,27
15.164,2.08,1212.71,6,28
15.669,2.06,1212.7,6,29
16.187,2.03,1212.71,5,30
16.722,2.01,1213.71,6,31
17.255,1.96,1213.71,7,32
17.8,2.01,1214.48,6,33
18.332,1.98,1214.49,8,34
18.867,1.82,1214.49,8,35
19.446,1.9,1214.5,8,36
20.008,2.01,1213.24,8,37
20.541,1.9,1213.26,9,38
21.095,1.96,1213.25,8,39
21.644,1.93,1213.25,9,40
22.195,1.9,1213.25,9,41
22.761,1.92,1213.27,8,42
23.308,1.96,1213.25,8,43
23.847,1.99,1213.27,8,44
24.383,1.92,1213.27,10,45
24.931,1.99,1213.28,10,46
25.465,1.9,1213.3,10,47
26.028,1.63,1213.29,10,48
26.664,1.96,1213.47,10,49
27.206,1.98,1209.79,11,50
27.733,2.03,1206.62,10,51
28.245,1.54,1204.23,11,52
28.932,1.31,1204.23,11,53
29.824,1.1,1199.15,12,54
