timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.69,1280.01,4,1
1.514,1.69,1298.03,3,2
2.141,2.21,1298.19,4,3
2.622,2.26,1302.58,4,4
3.094,2.27,1304.53,4,5
3.561,2.26,1305.96,4,6
4.031,2.24,1306.0,4,7
4.509,2.2,1306.01,4,8
4.997,2.13,1307.35,5,9
5.498,2.22,1307.41,4,10
5.976,2.26,1307.41,4,11
6.46,1.79,1307.43,5,12
7.068,1.39,1308.54,5,13
7.834,1.49,1308.54,5,14
8.554,1.47,1308.54,5,15
9.283,1.45,1308.58,5,16
10.015,1.39,1308.59,5,17
10.783,1.41,1308.59,5,18
11.538,1.46,1308.59,5,19
12.266,1.48,1309.02,5,20
12.987,1.49,1309.04,5,21
13.704,1.49,1309.04,5,22
14.419,1.61,1309.03,5,23
15.084,1.5,1308.92,5,24
15.8,1.3,1309.11,6,25
16.616,1.43,1309.13,6,26
17.362,1.44,1310.13,6,27
18.097,1.56,1310.14,6,28
18.784,1.62,1310.2,6,29
19.435,1.75,1310.21,5,30
20.043,1.32,1311.21,6,31
20.842,1.42,1311.21,7,32
21.591,1.44,1311.25,6,33
22.322,1.38,1311.29,8,34
23.089,1.3,1311.3,8,35
23.899,1.35,1311.3,8,36
24.681,1.39,1311.34,8,37
25.446,1.34,1311.34,9,38
26.233,1.38,1311.36,8,39
27.0,1.33,1311.37,9,40
27.791,1.35,1311.36,9,41
28.573,1.37,1311.36,8,42
29.349,1.39,1311.36,8,43
