timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.66,735.64,3,1
1.723,1.63,754.57,3,2
2.396,1.68,770.91,3,3
3.046,1.11,776.39,3,4
4.004,1.66,777.55,4,5
4.661,1.75,778.69,4,6
5.29,1.63,778.23,4,7
5.958,1.65,778.89,4,8
6.62,1.7,779.94,4,9
7.264,1.35,779.83,4,10
8.039,1.7,780.0,4,11
8.654,1.88,780.07,4,12
9.23,1.87,781.14,4,13
9.801,2.08,781.15,4,14
10.32,2.19,780.95,4,15
10.809,2.22,781.14,4,16
11.297,2.38,791.39,4,17
11.741,2.2,781.14,4,18
12.235,2.37,781.14,4,19
12.691,2.25,781.57,4,20
13.16,1.48,776.07,4,21
13.875,1.72,776.43,4,22
14.487,1.82,781.24,4,23
15.069,1.72,779.97,4,24
15.685,1.77,773.16,4,25
16.282,1.49,772.02,4,26
16.998,1.75,772.86,4,27
17.611,1.85,772.97,3,28
18.19,1.93,773.16,3,29
18.74,1.83,772.98,4,30
19.316,1.89,773.98,4,31
19.884,1.81,774.05,4,32
20.465,1.92,774.18,4,33
21.027,1.89,774.02,4,34
21.601,1.94,774.2,4,35
22.15,1.88,761.79,5,36
22.721,1.82,774.26,6,37
23.302,1.65,774.27,6,38
23.953,1.95,774.08,6,39
24.504,2.04,774.27,6,40
25.024,1.65,774.34,6,41
25.664,1.98,772.16,6,42
26.203,2.0,774.12,6,43
26.742,2.03,774.27,6,44
27.272,1.75,774.14,6,45
27.878,2.02,774.28,5,46
28.412,2.02,774.28,4,47
28.941,1.85,774.29,5,48
29.521,2.01,775.79,4,49
