timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.58,683.66,3,1
1.711,2.85,638.3,3,2
2.062,3.05,638.02,3,3
2.39,3.02,642.27,3,4
2.722,3.25,643.36,3,5
3.03,3.25,644.51,3,6
3.338,3.2,644.51,3,7
3.65,3.7,644.52,4,8
3.921,3.88,645.93,4,9
4.179,3.85,645.63,3,10
4.438,3.86,645.64,4,11
4.697,3.88,645.91,4,12
4.955,3.87,646.76,4,13
5.214,3.79,647.07,4,14
5.478,3.87,646.76,4,15
5.736,3.83,646.76,4,16
5.997,3.9,647.04,4,17
6.254,3.9,646.77,4,18
6.511,3.89,647.09,4,19
6.768,3.86,647.21,4,20
7.027,3.79,647.24,4,21
7.29,3.8,647.49,4,22
7.553,3.87,647.23,4,23
7.812,3.83,647.4,4,24
8.073,3.85,630.26,4,25
8.333,3.77,630.23,4,26
8.599,3.82,647.22,4,27
8.861,3.83,647.25,4,28
9.122,3.83,647.28,4,29
9.383,3.85,647.28,4,30
9.644,3.87,648.28,4,31
9.903,3.9,648.28,4,32
10.159,3.85,648.28,5,33
10.419,3.74,648.29,5,34
10.686,3.8,648.3,4,35
10.949,3.84,648.29,5,36
11.21,3.77,648.33,6,37
11.475,3.8,648.36,5,38
11.738,3.81,648.42,6,39
12.0,3.8,648.42,6,40
12.264,3.85,648.42,5,41
12.524,3.71,648.43,5,42
12.793,3.8,648.43,6,43
13.057,3.8,648.43,6,44
13.32,3.86,648.43,6,45
13.58,3.81,648.43,6,46
13.842,3.82,648.44,6,47
14.104,3.87,648.45,6,48
14.363,3.84,649.52,7,49
14.624,3.88,652.5,7,50
14.882,3.84,650.98,6,51
15.142,3.87,651.05,6,52
15.401,3.83,649.61,7,53
15.662,3.81,649.61,6,54
15.925,3.9,649.62,7,55
16.182,3.7,649.62,7,56
16.453,3.85,649.62,7,57
16.712,3.82,649.62,7,58
16.974,3.78,649.62,7,59
17.239,3.81,649.62,7,60
17.502,3.86,649.63,8,61
17.761,3.81,650.64,7,62
18.024,3.83,650.63,7,63
18.285,3.85,650.64,7,64
18.544,3.83,650.64,7,65
18.805,3.69,650.64,7,66
19.076,3.29,650.66,7,67
19.38,2.47,620.79,7,68
19.784,2.1,622.45,7,69
20.263,2.9,621.35,7,70
20.608,2.91,621.35,7,71
20.953,2.7,621.35,7,72
21.324,2.95,621.4,7,73
21.664,2.85,622.8,7,74
22.015,2.64,605.01,6,75
22.395,2.93,604.95,5,76
22.736,2.74,620.91,5,77
23.102,2.85,620.93,5,78
23.453,2.89,620.96,5,79
23.799,2.8,610.47,5,80
24.157,3.22,621.0,5,81
24.467,3.4,621.01,5,82
24.761,3.33,621.0,5,83
25.061,3.37,621.43,5,84
25.359,3.37,621.43,5,85
25.656,3.39,621.44,5,86
25.95,3.32,621.45,5,87
26.251,3.42,621.45,5,88
26.544,3.24,621.46,5,89
26.853,3.37,621.46,5,90
27.151,3.33,621.46,5,91
27.451,3.42,621.46,5,92
27.743,3.38,621.47,5,93
28.039,3.37,621.46,5,94
28.336,3.4,621.46,5,95
28.63,3.39,621.46,5,96
28.925,3.38,621.46,5,97
29.221,3.37,621.48,5,98
29.517,3.21,621.46,5,99
29.829,3.43,649.29,6,100
