timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.59,1155.62,4,1
1.722,1.73,1172.73,3,2
2.331,1.75,1173.98,4,3
2.93,1.77,1178.32,4,4
3.524,1.88,1179.43,4,5
4.084,1.98,1180.57,4,6
4.621,2.12,1180.6,4,7
5.122,2.84,1180.59,4,8
5.501,2.89,1181.71,5,9
5.871,3.1,1181.71,4,10
6.218,2.72,1181.71,4,11
6.61,2.87,1181.71,5,12
6.982,3.0,1182.82,5,13
7.34,2.98,1182.83,5,14
7.699,3.09,1182.83,5,15
8.043,3.07,1182.86,5,16
8.392,3.11,1182.86,5,17
8.737,3.12,1182.86,5,18
9.08,3.08,1182.86,5,19
9.427,3.04,1183.29,5,20
9.778,3.1,1183.31,5,21
10.124,3.1,1183.31,5,22
10.47,3.11,1183.3,5,23
10.816,3.11,1183.32,5,24
11.162,3.0,1183.36,6,25
11.519,3.0,1183.38,6,26
11.874,3.0,1184.38,6,27
12.231,3.11,1184.41,6,28
12.576,3.0,1184.42,6,29
12.933,3.12,1184.43,5,30
13.279,2.98,1185.45,6,31
13.638,2.86,1185.58,7,32
14.011,2.9,1185.63,6,33
14.375,2.82,1185.66,8,34
14.754,2.75,1185.7,8,35
15.142,2.82,1185.7,8,36
15.52,2.91,1185.74,8,37
15.885,2.77,1185.75,9,38
16.274,2.57,1185.75,8,39
16.692,2.42,1185.75,9,40
17.135,2.49,1185.75,9,41
17.565,2.58,1185.75,8,42
17.981,2.52,1185.75,8,43
18.407,2.54,1185.75,8,44
18.826,2.43,1185.75,10,45
19.266,2.47,1185.75,10,46
19.701,2.35,1185.75,10,47
20.159,2.58,1185.75,10,48
20.577,2.46,1185.75,10,49
21.013,2.44,1186.53,11,50
21.451,2.58,1186.52,10,51
21.869,2.59,1186.52,11,52
22.282,2.57,1186.53,11,53
22.7,2.44,1186.53,12,54
23.14,2.55,1186.54,11,55
23.563,2.28,1186.53,12,56
24.035,2.35,1186.53,11,57
24.491,2.54,1186.53,11,58
24.911,2.53,1186.54,12,59
25.334,2.53,1186.54,12,60
25.76,2.28,1186.54,13,61
26.229,2.5,1187.54,12,62
26.657,2.62,1187.54,12,63
27.065,2.44,1187.54,13,64
27.499,2.62,1187.54,12,65
27.91,2.52,1187.54,11,66
28.335,2.53,1187.54,11,67
28.758,2.53,1187.54,11,68
29.179,2.57,1187.54,11,69
29.598,2.54,1187.55,11,70
