frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
17,7.88,4,car,0.828,532,215,594,256,563,235,563,256,44.655368,10.934712,2449,1559
18,8.323,1,car,0.9332,315,342,525,474,420,408,420,474,44.655537,10.934409,1628,1100
18,8.323,2,car,0.9083,560,247,677,319,618,283,618,319,44.655443,10.934535,1968,1356
18,8.323,3,car,0.9019,484,235,555,283,519,259,519,283,44.655416,10.934641,2256,1429
18,8.323,4,car,0.8283,531,215,593,256,562,235,562,256,44.655368,10.934712,2450,1558
19,8.768,1,car,0.9368,306,344,523,478,414,411,414,478,44.655539,10.934408,1623,1096
19,8.768,2,car,0.9033,562,248,677,320,619,284,619,320,44.655444,10.934532,1962,1354
19,8.768,3,car,0.8985,484,236,558,283,521,259,521,283,44.655416,10.93464,2254,1430
19,8.768,4,car,0.8351,533,216,591,256,562,236,562,256,44.655368,10.934712,2450,1558
20,9.221,1,car,0.9307,299,345,519,482,409,413,409,482,44.65554,10.934406,1619,1093
20,9.221,2,car,0.8991,565,248,678,321,621,284,621,321,44.655444,10.93453,1956,1352
20,9.221,3,car,0.9007,485,236,560,283,522,259,522,283,44.655416,10.93464,2253,1430
20,9.221,4,car,0.8339,532,216,589,254,560,235,560,254,44.655365,10.93472,2472,1567
21,9.667,1,car,0.9267,291,347,518,486,404,416,404,486,44.655541,10.934404,1614,1089
21,9.667,2,car,0.8974,567,248,679,323,623,285,623,323,44.655446,10.934526,1946,1347
21,9.667,3,car,0.8986,487,236,561,283,524,259,524,283,44.655415,10.934639,2252,1431
21,9.667,4,car,0.8318,529,215,588,254,558,234,558,254,44.655366,10.934721,2474,1566
22,10.118,1,car,0.927,281,351,507,490,394,420,394,490,44.655543,10.934403,1611,1085
22,10.118,2,car,0.8947,570,249,680,324,625,286,625,324,44.655447,10.934524,1940,1346
22,10.118,3,car,0.9011,488,237,566,284,527,260,527,284,44.655416,10.934635,2242,1429
