timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.64,1280.93,4,1
1.605,2.01,1298.18,3,2
2.13,1.95,1298.3,4,3
2.671,1.95,1302.62,4,4
3.209,2.1,1303.73,4,5
3.715,2.79,1304.91,4,6
4.098,2.96,1304.95,4,7
4.458,3.14,1304.95,4,8
4.799,2.98,1306.07,5,9
5.157,3.15,1306.08,4,10
5.499,3.14,1306.08,4,11
5.838,3.03,1306.08,5,12
6.191,3.0,1307.19,5,13
6.549,3.04,1307.19,5,14
6.902,3.1,1307.2,5,15
7.246,3.11,1307.23,5,16
7.589,3.12,1307.23,5,17
7.93,3.14,1307.23,5,18
8.28,3.07,1307.24,5,19
8.628,3.09,1307.7,5,20
8.976,3.13,1307.7,5,21
9.32,3.13,1307.7,5,22
9.662,3.16,1307.7,5,23
10.003,3.06,1307.7,5,24
10.352,3.04,1307.75,6,25
10.706,3.01,1307.74,6,26
11.057,2.94,1308.74,6,27
11.423,3.09,1308.75,6,28
11.77,2.96,1308.75,6,29
12.134,2.66,1308.76,5,30
12.538,2.8,1309.79,6,31
12.919,2.95,1309.79,7,32
13.28,3.02,1309.84,6,33
13.634,2.86,1309.84,8,34
14.007,2.77,1309.86,8,35
14.395,2.69,1309.85,8,36
14.79,2.88,1309.89,8,37
15.161,2.85,1309.91,9,38
15.537,2.87,1309.93,8,39
15.908,2.51,1309.93,9,40
16.334,2.46,1309.93,9,41
16.77,2.58,1309.93,8,42
17.185,2.59,1309.93,8,43
17.6,2.53,1309.93,8,44
18.024,2.43,1309.93,10,45
18.466,2.5,1309.92,10,46
18.894,2.42,1309.93,10,47
19.336,2.47,1309.92,10,48
19.77,2.54,1309.93,10,49
20.193,2.55,1310.68,11,50
20.617,2.65,1310.67,10,51
21.024,2.64,1310.67,11,52
21.433,2.61,1310.68,11,53
21.839,2.49,1310.68,12,54
22.271,2.6,1310.68,11,55
22.684,2.47,1310.68,12,56
23.116,2.58,1310.68,11,57
23.536,2.41,1310.68,11,58
23.983,2.5,1310.68,12,59
24.411,2.32,1310.68,12,60
24.877,2.3,1310.68,13,61
25.337,2.55,1311.68,12,62
25.757,2.63,1311.68,12,63
26.162,2.47,1311.68,13,64
26.596,2.62,1311.68,12,65
27.003,2.56,1311.68,11,66
27.419,2.57,1311.68,11,67
27.836,2.56,1311.69,11,68
28.253,2.59,1311.69,11,69
28.669,2.57,1311.7,11,70
29.087,2.59,1311.7,11,71
29.5,2.65,1311.69,11,72
29.905,2.55,1311.7,11,73
