frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
18,9.244,3,car,0.9019,488,235,551,283,519,259,519,283,44.655416,10.934641,2256,1429
18,9.244,4,car,0.8283,523,215,601,256,562,235,562,256,44.655368,10.934712,2450,1558
19,9.734,1,car,0.9368,309,344,520,478,414,411,414,478,44.655539,10.934408,1623,1096
19,9.734,2,car,0.9033,561,248,678,320,619,284,619,320,44.655444,10.934532,1962,1354
19,9.734,3,car,0.8985,490,236,553,283,521,259,521,283,44.655416,10.93464,2254,1430
19,9.734,4,car,0.8351,524,216,599,256,561,236,561,256,44.655368,10.934712,2451,1558
20,10.22,1,car,0.9307,301,345,516,482,408,413,408,482,44.65554,10.934406,1619,1093
20,10.22,2,car,0.8991,562,248,681,321,621,284,621,321,44.655444,10.93453,1956,1352
20,10.22,3,car,0.9007,491,236,554,283,522,259,522,283,44.655416,10.93464,2253,1430
20,10.22,4,car,0.8339,525,216,596,254,560,235,560,254,44.655365,10.93472,2472,1567
21,10.719,1,car,0.9267,295,347,514,486,404,416,404,486,44.655541,10.934404,1614,1089
21,10.719,2,car,0.8974,563,248,682,323,622,285,622,323,44.655446,10.934526,1946,1347
21,10.719,3,car,0.8986,492,236,556,283,524,259,524,283,44.655415,10.934639,2252,1431
21,10.719,4,car,0.8318,523,215,593,254,558,234,558,254,44.655366,10.934721,2474,1566
22,11.225,1,car,0.927,284,351,505,490,394,420,394,490,44.655543,10.934403,1611,1085
22,11.225,2,car,0.8947,565,249,684,324,624,286,624,324,44.655447,10.934525,1941,1345
22,11.225,3,car,0.9011,494,237,560,284,527,260,527,284,44.655416,10.934635,2242,1429
22,11.225,4,car,0.8345,520,215,590,253,555,234,555,253,44.655364,10.934726,2487,1570
23,11.723,1,car,0.93,274,353,500,496,387,424,387,496,44.655544,10.934401,1604,1080
23,11.723,2,car,0.8983,568,251,685,325,626,288,626,325,44.655448,10.934522,1935,1343
23,11.723,3,car,0.8949,495,237,564,286,529,261,529,286,44.655418,10.93463,2226,1423
23,11.723,4,car,0.8399,518,214,589,253,553,233,553,253,44.655364,10.934726,2489,1569
24,12.216,1,car,0.9324,263,355,492,499,377,427,377,499,44.655546,10.9344,1603,1077
24,12.216,2,car,0.8969,569,251,686,326,627,288,627,326,44.655448,10.93452,1929,1341
24,12.216,3,car,0.8927,496,239,567,287,531,263,531,287,44.655419,10.934627,2218,1420
24,12.216,4,car,0.8056,518,214,586,252,552,233,552,252,44.655363,10.934731,2501,1574
25,12.707,1,car,0.9355,250,358,481,504,365,431,365,504,44.655547,10.934399,1600,1072
25,12.707,2,car,0.9,569,251,688,327,628,289,628,327,44.655449,10.934518,1924,1339
25,12.707,3,car,0.8758,497,240,570,289,533,264,533,289,44.655421,10.934621,2202,1414
25,12.707,4,car,0.7622,521,214,587,251,554,232,554,251,44.65536,10.934734,2510,1580
26,13.202,1,car,0.9336,242,361,473,507,357,434,357,507,44.655549,10.934398,1598,1069
26,13.202,2,car,0.9016,571,252,688,329,629,290,629,329,44.655451,10.934515,1915,1335
26,13.202,3,car,0.8722,498,240,573,290,535,265,535,290,44.655422,10.934618,2194,1412
26,13.202,4,car,0.637,526,214,589,252,557,233,557,252,44.655362,10.934729,2496,1576
27,13.697,1,car,0.9331,229,364,463,513,346,438,346,513,44.65555,10.934397,1593,1064
27,13.697,2,car,0.9083,572,253,688,330,630,291,630,330,44.655451,10.934513,1910,1333
27,13.697,3,car,0.8779,498,240,575,290,536,265,536,290,44.655422,10.934617,2193,1412
27,13.697,4,car,0.7134,521,214,585,251,553,232,553,251,44.65536,10.934735,2511,1580
28,14.204,1,car,0.9293,216,367,456,519,336,443,336,519,44.655552,10.934395,1588,1059
28,14.204,2,car,0.9142,573,255,688,331,630,293,630,331,44.655452,10.934512,1906,1331
28,14.204,3,car,0.878,497,240,578,292,537,266,537,292,44.655424,10.934612,2179,1406
29,14.709,1,car,0.929,211,368,454,523,332,445,332,523,44.655553,10.934393,1584,1057
29,14.709,2,car,0.9159,574,256,687,332,630,294,630,332,44.655453,10.93451,1902,1328
29,14.709,3,car,0.8774,498,240,579,292,538,266,538,292,44.655424,10.934612,2178,1406
30,15.212,1,car,0.9244,208,371,449,525,328,448,328,525,44.655554,10.934392,1582,1055
30,15.212,2,car,0.9223,574,257,688,333,631,295,631,333,44.655454,10.934508,1897,1326
30,15.212,3,car,0.8703,497,239,582,294,539,266,539,294,44.655427,10.934607,2165,1400
30,15.212,4,car,0.6196,515,213,574,248,544,230,544,248,44.655356,10.93475,2552,1591
31,15.729,1,car,0.9211,197,372,445,530,321,451,321,530,44.655555,10.934391,1578,1051
31,15.729,2,car,0.9235,575,258,688,334,631,296,631,334,44.655455,10.934507,1893,1324
31,15.729,3,car,0.8676,498,238,584,294,541,266,541,294,44.655426,10.934606,2163,1401
31,15.729,4,car,0.6262,514,215,572,248,543,231,543,248,44.655356,10.93475,2553,1591
32,16.225,1,car,0.9278,184,374,437,536,310,455,310,536,44.655557,10.934389,1573,1047
32,16.225,2,car,0.9258,575,259,688,336,631,297,631,336,44.655456,10.934504,1884,1320
32,16.225,3,car,0.8722,500,238,587,295,543,266,543,295,44.655427,10.934603,2155,1399
32,16.225,4,car,0.6423,514,215,569,246,541,230,541,246,44.655353,10.934759,2578,1601
33,16.724,1,car,0.9162,174,378,432,543,303,460,303,543,44.655558,10.934387,1566,1043
33,16.724,2,car,0.9239,577,260,688,336,632,298,632,336,44.655456,10.934504,1884,1320
33,16.724,3,car,0.8751,501,238,589,295,545,266,545,295,44.655427,10.934603,2154,1399
33,16.724,5,car,0.8151,580,207,621,240,600,223,600,240,44.655328,10.934764,2592,1667
34,17.215,1,car,0.9306,157,381,415,548,286,464,286,548,44.65556,10.934387,1566,1038
34,17.215,2,car,0.9218,578,261,689,337,633,299,633,337,44.655457,10.934502,1879,1318
34,17.215,3,car,0.8582,504,239,592,295,548,267,548,295,44.655427,10.934602,2151,1400
34,17.215,5,car,0.8531,578,207,619,239,598,223,598,239,44.655326,10.93477,2606,1673
35,17.729,1,car,0.9288,143,387,397,553,270,470,270,553,44.655561,10.934386,1565,1034
35,17.729,2,car,0.9213,579,261,689,338,634,299,634,338,44.655458,10.9345,1874,1316
35,17.729,3,car,0.8404,506,241,591,296,548,268,548,296,44.655428,10.9346,2145,1397
35,17.729,5,car,0.7963,577,208,616,238,596,223,596,238,44.655324,10.934775,2621,1678
36,18.231,1,car,0.9199,129,390,385,559,257,474,257,559,44.655563,10.934385,1561,1029
36,18.231,2,car,0.9216,580,262,689,339,634,300,634,339,44.655458,10.934499,1871,1314
36,18.231,3,car,0.8372,508,243,591,297,549,270,549,297,44.655428,10.934597,2138,1395
36,18.231,5,car,0.8313,570,207,612,239,591,223,591,239,44.655328,10.934772,2614,1669
36,18.231,6,bicycle,0.7519,2,384,36,487,19,435,19,487,44.655562,10.93446,1765,1033
37,18.727,1,car,0.922,114,392,375,565,244,478,244,565,44.655565,10.934384,1558,1025
37,18.727,2,car,0.925,580,262,690,340,635,301,635,340,44.655459,10.934497,1866,1312
37,18.727,3,car,0.8398,510,243,593,297,551,270,551,297,44.655428,10.934596,2136,1395
37,18.727,5,car,0.8453,568,207,612,239,590,223,590,239,44.655328,10.934773,2615,1668
