timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.49,1278.97,4,1
2.069,1.58,1296.94,3,2
2.737,1.84,1297.06,4,3
3.316,2.14,1301.46,4,4
3.811,2.14,1303.34,4,5
4.307,1.99,1304.76,4,6
4.849,1.45,1304.79,4,7
5.573,1.39,1304.79,4,8
6.325,1.31,1305.9,5,9
7.134,1.52,1305.89,4,10
7.83,1.32,1305.89,4,11
8.621,1.63,1305.89,5,12
9.268,1.5,1307.0,5,13
9.977,1.38,1307.0,5,14
10.741,1.72,1307.0,5,15
11.36,1.49,1307.04,5,16
12.077,1.48,1307.06,5,17
12.793,1.43,1307.07,5,18
13.538,1.27,1307.05,5,19
14.393,1.24,1307.48,5,20
15.238,1.45,1307.49,5,21
15.972,1.43,1307.49,5,22
16.72,1.47,1307.48,5,23
17.448,1.45,1307.49,5,24
18.186,1.63,1307.54,6,25
18.845,1.86,1307.54,6,26
19.419,1.07,1308.55,6,27
20.394,1.56,1308.56,6,28
21.087,1.41,1308.56,6,29
21.84,1.49,1308.57,5,30
22.554,1.44,1309.57,6,31
23.297,1.47,1309.59,7,32
24.011,1.77,1309.6,6,33
24.611,1.24,1309.64,8,34
25.451,1.33,1309.66,8,35
26.247,1.3,1309.66,8,36
27.057,1.36,1309.69,8,37
27.834,1.25,1309.7,9,38
28.678,1.35,1309.71,8,39
29.465,1.3,1309.72,9,40
