timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.45,1284.29,4,1
4.421,1.31,1292.19,3,2
5.225,1.41,1292.34,4,3
5.976,1.42,1296.84,4,4
6.717,1.77,1297.96,4,5
7.323,2.1,1299.11,4,6
7.838,1.93,1299.15,4,7
8.401,1.95,1299.14,4,8
8.951,1.83,1300.3,5,9
10.33,2.13,1300.31,4,10
10.83,2.23,1300.32,4,11
11.308,2.17,1300.32,5,12
13.122,1.9,1301.43,5,13
13.68,2.17,1301.43,5,14
14.17,2.25,1301.44,5,15
14.65,2.14,1301.48,5,16
15.147,2.2,1301.5,5,17
19.322,2.0,1301.51,5,18
19.854,2.08,1301.51,5,19
20.365,2.24,1301.94,5,20
20.847,2.2,1301.95,5,21
21.335,2.25,1301.95,5,22
21.811,2.25,1301.94,5,23
22.286,2.17,1301.94,5,24
22.78,2.1,1301.98,6,25
23.289,2.14,1301.98,6,26
23.789,2.17,1302.98,6,27
24.281,2.17,1303.0,6,28
24.771,2.17,1303.02,6,29
25.261,2.22,1303.03,5,30
25.743,1.89,1304.06,6,31
26.308,1.94,1304.07,7,32
26.853,1.63,1304.07,6,33
27.516,1.39,1304.14,8,34
28.283,1.47,1304.17,8,35
29.01,1.45,1304.19,8,36
29.746,1.38,1304.23,8,37
