timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.96,739.59,3,1
1.079,1.83,762.26,3,2
1.656,2.11,779.02,3,3
2.167,2.18,784.09,3,4
2.66,2.17,785.26,4,5
3.149,2.31,763.92,4,6
3.606,3.02,786.42,4,7
3.956,3.28,786.42,4,8
4.289,3.46,787.53,4,9
4.606,3.33,787.53,4,10
4.932,3.39,787.53,4,11
5.243,3.35,787.54,4,12
5.567,3.38,788.64,4,13
5.88,3.33,788.65,4,14
6.208,3.36,788.65,4,15
6.539,3.31,788.65,4,16
6.867,3.36,788.66,4,17
7.194,3.31,788.66,4,18
7.522,3.34,788.66,4,19
7.848,3.42,789.09,4,20
8.16,3.4,789.1,4,21
8.474,3.33,789.1,4,22
8.801,3.35,789.1,4,23
9.132,3.42,785.87,4,24
9.445,3.31,780.62,4,25
9.771,3.29,779.12,4,26
10.104,3.27,780.29,4,27
10.437,3.31,780.35,3,28
10.758,3.28,780.35,3,29
11.084,3.31,780.35,4,30
11.415,3.3,781.35,4,31
11.746,3.29,781.36,4,32
12.075,3.27,781.36,4,33
12.396,3.29,781.38,4,34
12.726,3.33,781.38,4,35
13.055,3.27,781.4,5,36
13.38,3.32,781.43,6,37
13.71,3.23,781.43,6,38
14.039,3.28,781.43,6,39
14.368,3.21,781.43,6,40
14.695,3.25,781.43,6,41
15.026,3.25,781.43,6,42
15.353,3.17,781.43,6,43
15.699,3.42,781.44,6,44
16.016,3.3,781.44,6,45
16.345,3.29,781.44,5,46
16.673,3.3,781.44,4,47
17.006,3.2,781.44,5,48
17.347,3.33,785.1,4,49
17.663,3.38,783.67,5,50
17.973,3.23,780.65,5,51
18.311,3.29,780.8,5,52
18.64,3.31,782.27,5,53
18.962,3.26,782.27,6,54
19.289,3.24,782.27,6,55
19.624,3.25,782.34,6,56
19.957,3.27,782.34,5,57
