timestamp,fps,memory_mb,num_tracks,frame_number
0.0,0.66,704.04,3,1
1.516,3.01,721.57,3,2
1.848,2.82,732.46,3,3
2.202,3.66,736.65,3,4
2.475,4.0,737.77,3,5
2.725,3.95,738.92,3,6
2.978,3.92,738.92,3,7
3.233,3.94,738.92,4,8
3.487,3.98,740.03,4,9
3.738,3.96,740.04,3,10
3.991,3.94,740.04,4,11
4.244,3.95,740.04,4,12
4.497,3.94,741.14,4,13
4.751,3.92,741.14,4,14
5.007,3.9,741.14,4,15
5.263,3.92,741.14,4,16
5.518,3.93,741.15,4,17
5.772,3.91,741.15,4,18
6.028,3.93,741.15,4,19
6.282,3.91,741.58,4,20
6.538,4.0,741.59,4,21
6.788,3.25,741.59,4,22
7.096,3.91,741.59,4,23
7.351,3.89,732.86,4,24
7.609,3.83,732.77,4,25
7.869,3.76,733.23,4,26
8.136,3.86,733.16,4,27
8.396,3.88,733.16,4,28
8.653,3.88,733.16,4,29
8.911,3.88,733.16,4,30
9.17,3.83,734.16,4,31
9.431,3.86,734.16,4,32
9.69,3.84,734.18,5,33
9.951,3.89,734.19,5,34
10.208,3.84,734.19,4,35
10.469,3.85,734.2,5,36
10.728,3.84,734.23,6,37
10.988,3.8,734.23,5,38
11.251,3.86,734.25,6,39
11.51,3.63,734.25,6,40
11.786,3.85,734.25,5,41
12.045,3.84,734.03,5,42
12.306,3.73,734.12,6,43
12.574,3.87,734.03,6,44
12.832,3.86,734.04,6,45
13.091,3.89,734.04,6,46
13.348,3.85,734.04,6,47
13.608,3.91,734.05,6,48
13.864,3.9,735.86,7,49
14.12,3.82,736.26,7,50
14.382,3.85,734.84,6,51
14.642,3.88,734.91,6,52
14.901,3.87,735.14,7,53
15.159,3.87,735.14,6,54
15.418,3.88,735.15,7,55
15.676,3.81,735.15,7,56
15.939,3.87,735.15,7,57
16.197,3.9,735.15,7,58
16.455,3.84,735.17,7,59
16.715,3.7,735.15,7,60
16.987,3.86,735.16,8,61
17.246,3.85,736.16,7,62
17.506,3.69,736.16,7,63
17.777,3.83,736.17,7,64
18.038,3.86,736.17,7,65
18.297,3.88,736.17,7,66
18.555,3.86,736.17,7,67
18.814,3.87,736.17,7,68
19.072,3.91,736.28,7,69
19.328,3.87,736.18,7,70
19.586,3.89,736.18,7,71
19.844,3.89,736.18,7,72
20.101,3.86,736.18,7,73
20.36,3.92,737.41,7,74
20.616,3.87,736.86,6,75
20.874,3.81,737.25,5,76
21.138,3.92,736.08,5,77
21.393,3.92,736.08,5,78
21.648,3.89,736.08,5,79
21.907,3.85,736.08,5,80
22.166,3.69,736.09,5,81
22.437,3.73,736.09,5,82
22.705,3.41,723.63,5,83
22.998,3.28,724.06,5,84
23.303,3.41,736.52,5,85
23.597,3.4,736.54,5,86
23.891,3.37,736.53,5,87
24.188,3.41,736.55,5,88
24.481,3.34,724.09,5,89
24.78,3.37,724.09,5,90
25.078,3.21,736.54,5,91
25.389,3.38,724.09,5,92
25.685,3.37,726.9,5,93
25.982,3.36,724.09,5,94
26.279,3.14,726.91,5,95
26.598,2.61,723.75,5,96
26.982,2.95,723.91,5,97
27.321,3.18,723.91,5,98
27.635,3.33,723.91,5,99
27.936,3.33,736.9,6,100
28.237,3.36,729.33,6,101
28.535,3.39,723.5,6,102
28.83,3.32,726.38,6,103
29.131,3.37,736.02,6,104
29.428,3.38,723.81,6,105
29.723,3.35,723.81,6,106
